Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1812906,"October 2, 2020",Kentucky,Walton,500 block of Winchester Dr,1,2,N/A
1811676,"October 1, 2020",Louisiana,Dutchtown,36471 LA-74,0,1,N/A
1812880,"September 30, 2020",Washington,Selah,1100 block of W Goodlander Rd,0,1,N/A
1809780,"September 29, 2020",Kentucky,Louisville,1900 block of Dixie Garden Dr,0,1,N/A
1811282,"September 29, 2020",New Jersey,Trenton,N/A,0,1,N/A
1809365,"September 29, 2020",Michigan,Flint,600 block of Crawford St,0,1,N/A
1808737,"September 29, 2020",South Carolina,Latta,721 US-501,0,2,N/A
1809136,"September 29, 2020",Louisiana,Baton Rouge,5900 block of Heidel Ave,0,2,N/A
1808603,"September 27, 2020",Texas,Houston,5625 Antoine Dr,0,1,N/A
1806445,"September 26, 2020",Michigan,Detroit,Belleterre Ave and Burlingame St,0,2,N/A
1806368,"September 26, 2020",Missouri,Saint Louis,4700 block of Vernon Ave,0,5,N/A
1805426,"September 25, 2020",North Carolina,Clayton,100 block of Smart Ct,0,1,N/A
1806055,"September 24, 2020",Oklahoma,Pauls Valley,Airline Rd,0,1,N/A
1804782,"September 24, 2020",South Carolina,Greenwood,Foundry Rd,0,1,N/A
1812801,"September 24, 2020",Louisiana,Belle Rose,100 block of Freetown Ln,1,2,N/A
1804511,"September 23, 2020",Georgia,Hampton,1577 Glynn Ct,1,3,N/A
1804539,"September 23, 2020",Georgia,Griffin,N Hill St and Kentucky Ave,0,1,N/A
1803236,"September 23, 2020",New York,Bronx,325 E 143rd St,0,1,N/A
1803532,"September 23, 2020",Wisconsin,Milwaukee,N 32nd St and W Brown St,0,1,N/A
1802578,"September 22, 2020",North Carolina,Durham,Guess Rd and Horton Rd,0,1,N/A
1802547,"September 22, 2020",California,Bakersfield,CA-58,0,3,N/A
1801387,"September 21, 2020",North Carolina,Charlotte,3200 block of Amity Pointe Rd,0,2,N/A
1801494,"September 21, 2020",Illinois,Chicago,3300 block of W Van Buren,0,3,N/A
1811774,"September 21, 2020",Texas,Austin,Purple Sage Dr,0,1,N/A
1802444,"September 21, 2020",Virginia,Henrico,4600 block of Lakefield Mews Pl,0,1,N/A
1801045,"September 20, 2020",South Carolina,Dillon,4th Ave,0,1,N/A
1800811,"September 20, 2020",Florida,Jupiter (Jupiter Inlet Colony),N/A,0,1,N/A
1799865,"September 19, 2020",Georgia,Atlanta,3301 N Camp Creek Pkwy SW,0,1,N/A
1800468,"September 19, 2020",Wisconsin,Milwaukee,2100 block of N 38th St,0,1,N/A
1797636,"September 16, 2020",Washington,Yakima,1600 block of South 12th Ave,0,1,N/A
1797041,"September 16, 2020",Maryland,Baltimore,1600 block of E Monument St,0,1,N/A
1796628,"September 15, 2020",Ohio,Cleveland,Kinsman Rd and E 117th St,0,1,N/A
1796538,"September 15, 2020",Illinois,Chicago,1800 block of S Homan Ave,0,1,N/A
1795164,"September 14, 2020",Virginia,Virginia Beach,2009 Lynnhaven Pkwy,0,3,N/A
1795391,"September 14, 2020",Louisiana,Baker,Burgess Dr,0,4,N/A
1795463,"September 14, 2020",Louisiana,Mamou,N/A,0,2,N/A
1794274,"September 13, 2020",Tennessee,Memphis,6296 Lake View Trail,0,1,N/A
1794303,"September 13, 2020",Virginia,Portsmouth,1300 block of Watson St,0,2,N/A
1794101,"September 12, 2020",New York,Camden,85 Taberg St,0,2,N/A
1792468,"September 11, 2020",Texas,Dallas,1300 block of Bank St,0,1,N/A
1792866,"September 11, 2020",Maryland,Upper Marlboro (Glenarden),8600 Block of McLain Ave,0,2,N/A
1792920,"September 11, 2020",Louisiana,Shreveport,4305 Illinois Ave,0,1,N/A
1792298,"September 10, 2020",Ohio,Akron,1200 block of Copley Rd,1,1,N/A
1791504,"September 10, 2020",Texas,San Antonio,Bookertee Rd and Martin Luther King Dr,0,1,N/A
1791359,"September 9, 2020",Pennsylvania,Bethlehem,1900 block of Fairland Ave,0,1,N/A
1795992,"September 9, 2020",Georgia,Washington,Pecan Grove Rd,0,2,N/A
1790964,"September 9, 2020",Maryland,Baltimore,900 E Madison St,0,1,N/A
1789784,"September 8, 2020",Louisiana,Houma,50 block of Kingsridge Loop,0,1,N/A
1787655,"September 7, 2020",New York,Brooklyn,Norstrand Ave and Crown St,0,5,N/A
1788437,"September 7, 2020",Ohio,Cincinatti,7000 block of Glen Meadow Ln,0,1,N/A
1786845,"September 6, 2020",Michigan,Grand Rapids,3416 Haleh Cir SE,0,1,N/A
1786935,"September 6, 2020",Colorado,Denver,3500 block of N Lipan St,1,2,N/A
1787977,"September 6, 2020",Tennessee,Memphis,6555 Lost Oak Dr,0,4,N/A
1785880,"September 4, 2020",California,Fresno,Eden Ave and Delno Ave,0,1,N/A
1785625,"September 4, 2020",Illinois,Chicago,8600 block of S Honore St,0,2,N/A
1786284,"September 3, 2020",New Jersey,Atlantic City,500 block of Indiana Ave,0,1,N/A
1784905,"September 2, 2020",Ohio,Toledo,832 Brown Ave,1,1,N/A
1783486,"September 2, 2020",Missouri,Kansas City,E 43rd St and S Benton Ave,0,1,N/A
1783561,"September 2, 2020",Tennessee,Chattanooga,4400 block of Grand Ave,0,1,N/A
1783536,"September 2, 2020",Louisiana,New Orleans,2100 block of N Claiborne Ave,0,3,N/A
1790833,"September 1, 2020",Indiana,Versailles,N/A,0,1,N/A
1780857,"August 31, 2020",Delaware,Wilmington,700 block of Jefferson St,0,1,N/A
1781359,"August 31, 2020",Ohio,Columbus,1701 Joyce Ave,0,1,N/A
1779577,"August 30, 2020",Mississippi,Jackson,300 block of Greymont Ave,1,2,N/A
1780199,"August 30, 2020",Illinois,Zion,2300 block of Joppa Ave,1,3,N/A
1779978,"August 30, 2020",New York,Albany,100 block of Clinton St,0,2,N/A
1778839,"August 29, 2020",Florida,Tallahassee,1242 Stuckey Ave,0,1,N/A
1779708,"August 29, 2020",Michigan,Pontiac,Dudley Ave,0,3,N/A
1778672,"August 29, 2020",Ohio,Columbus,1800 block of S 5th St,0,1,N/A
1778597,"August 28, 2020",Texas,Houston,11600 Fuqua St,0,2,N/A
