Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1811297,"October 1, 2020",Michigan,Warren,2000 block of Otis Ave,3,0,N/A
1808521,"September 28, 2020",Oregon,Salem,244 Juneva Place SE,3,1,N/A
1808867,"September 28, 2020",South Carolina,Conway,1600 block of Suggs St,2,0,N/A
1802527,"September 22, 2020",Florida,Orlando (Pine Hills),4000 block of Drexel Ave,1,0,N/A
1800886,"September 21, 2020",Ohio,Struthers,111 Perry St,1,4,N/A
1801367,"September 21, 2020",Missouri,Kansas City,2900 block of E 33rd St,1,2,N/A
1799548,"September 18, 2020",Ohio,Cincinnati,1100 block of Hempstead Dr,1,0,N/A
1797170,"September 16, 2020",North Carolina,Fayetteville,600 block of Mosswood Ln,1,0,N/A
1796458,"September 15, 2020",Tennessee,Clarksville,25 Lincoln Dr,1,0,N/A
1795792,"September 14, 2020",Ohio,Canton,500 block of 19th St NW,1,0,N/A
1794494,"September 13, 2020",New York,Troy,2266 Old Sixth Ave,1,0,N/A
1794861,"September 13, 2020",Michigan,Algonac (Clay Township),6300 block of Benoit Rd,1,1,N/A
1792298,"September 10, 2020",Ohio,Akron,1200 block of Copley Rd,1,1,N/A
1790483,"September 9, 2020",North Carolina,Charlotte,6000 block of Elgywood Lane,1,0,N/A
1787827,"September 7, 2020",Illinois,Chicago,W 47th St and S Union Ave,1,2,N/A
1788118,"September 6, 2020",Mississippi,Meridian,N/A,1,0,N/A
1785603,"September 4, 2020",Louisiana,Baton Rouge,500 block of S Flannery Rd,1,0,N/A
1789848,"September 3, 2020",Georgia,Tifton,Mosely Ave,1,0,N/A
1784683,"September 3, 2020",North Carolina,Lexington (Yadkin),Brookstone Cir,1,0,N/A
1779307,"August 29, 2020",Indiana,South Bend,800 block of E Donald St,1,0,N/A
1779064,"August 29, 2020",Virginia,Virginia Beach,1600 Chase Arbor Common,1,0,N/A
1778536,"August 28, 2020",Indiana,Evansville,3900 block of Vista Dr,1,0,N/A
1778159,"August 27, 2020",Texas,San Marcos,929 Boulder Bluff,3,0,N/A
1784391,"August 24, 2020",Illinois,Glendale Heights,170 S Waters Edge Dr,2,0,N/A
1774108,"August 24, 2020",Pennsylvania,Pittsburgh,100 block of Rhine Pl,1,0,N/A
1765758,"August 16, 2020",Indiana,South Bend,1100 block of Rose St,1,0,N/A
1765381,"August 15, 2020",Texas,San Antonio,5430 Walzem Rd,1,1,N/A
1765851,"August 15, 2020",North Carolina,Charlotte,5350 Reagan Dr,1,0,N/A
1764429,"August 14, 2020",Kentucky,Louisville,3700 block of Kahlert Ave,2,0,N/A
1764564,"August 14, 2020",Ohio,Akron,700 block of Roselle Ave,1,1,N/A
