,state,state_po,county,FIPS
40517,Alabama,AL,Autauga,1001
40520,Alabama,AL,Baldwin,1003
40523,Alabama,AL,Barbour,1005
40526,Alabama,AL,Bibb,1007
40529,Alabama,AL,Blount,1009
40532,Alabama,AL,Bullock,1011
40535,Alabama,AL,Butler,1013
40538,Alabama,AL,Calhoun,1015
40541,Alabama,AL,Chambers,1017
40544,Alabama,AL,Cherokee,1019
40547,Alabama,AL,Chilton,1021
40550,Alabama,AL,Choctaw,1023
40553,Alabama,AL,Clarke,1025
40556,Alabama,AL,Clay,1027
40559,Alabama,AL,Cleburne,1029
40562,Alabama,AL,Coffee,1031
40565,Alabama,AL,Colbert,1033
40568,Alabama,AL,Conecuh,1035
40571,Alabama,AL,Coosa,1037
40574,Alabama,AL,Covington,1039
40577,Alabama,AL,Crenshaw,1041
40580,Alabama,AL,Cullman,1043
40583,Alabama,AL,Dale,1045
40586,Alabama,AL,Dallas,1047
40589,Alabama,AL,DeKalb,1049
40592,Alabama,AL,Elmore,1051
40595,Alabama,AL,Escambia,1053
40598,Alabama,AL,Etowah,1055
40601,Alabama,AL,Fayette,1057
40604,Alabama,AL,Franklin,1059
40607,Alabama,AL,Geneva,1061
40610,Alabama,AL,Greene,1063
40613,Alabama,AL,Hale,1065
40616,Alabama,AL,Henry,1067
40619,Alabama,AL,Houston,1069
40622,Alabama,AL,Jackson,1071
40625,Alabama,AL,Jefferson,1073
40628,Alabama,AL,Lamar,1075
40631,Alabama,AL,Lauderdale,1077
40634,Alabama,AL,Lawrence,1079
40637,Alabama,AL,Lee,1081
40640,Alabama,AL,Limestone,1083
40643,Alabama,AL,Lowndes,1085
40646,Alabama,AL,Macon,1087
40649,Alabama,AL,Madison,1089
40652,Alabama,AL,Marengo,1091
40655,Alabama,AL,Marion,1093
40658,Alabama,AL,Marshall,1095
40661,Alabama,AL,Mobile,1097
40664,Alabama,AL,Monroe,1099
40667,Alabama,AL,Montgomery,1101
40670,Alabama,AL,Morgan,1103
40673,Alabama,AL,Perry,1105
40676,Alabama,AL,Pickens,1107
40679,Alabama,AL,Pike,1109
40682,Alabama,AL,Randolph,1111
40685,Alabama,AL,Russell,1113
40688,Alabama,AL,St. Clair,1115
40691,Alabama,AL,Shelby,1117
40694,Alabama,AL,Sumter,1119
40697,Alabama,AL,Talladega,1121
40700,Alabama,AL,Tallapoosa,1123
40703,Alabama,AL,Tuscaloosa,1125
40706,Alabama,AL,Walker,1127
40709,Alabama,AL,Washington,1129
40712,Alabama,AL,Wilcox,1131
40715,Alabama,AL,Winston,1133
40718,Arizona,AZ,Apache,4001
40721,Arizona,AZ,Cochise,4003
40724,Arizona,AZ,Coconino,4005
40727,Arizona,AZ,Gila,4007
40730,Arizona,AZ,Graham,4009
40733,Arizona,AZ,Greenlee,4011
40736,Arizona,AZ,La Paz,4012
40739,Arizona,AZ,Maricopa,4013
40742,Arizona,AZ,Mohave,4015
40745,Arizona,AZ,Navajo,4017
40748,Arizona,AZ,Pima,4019
40751,Arizona,AZ,Pinal,4021
40754,Arizona,AZ,Santa Cruz,4023
40757,Arizona,AZ,Yavapai,4025
40760,Arizona,AZ,Yuma,4027
40763,Arkansas,AR,Arkansas,5001
40766,Arkansas,AR,Ashley,5003
40769,Arkansas,AR,Baxter,5005
40772,Arkansas,AR,Benton,5007
40775,Arkansas,AR,Boone,5009
40778,Arkansas,AR,Bradley,5011
40781,Arkansas,AR,Calhoun,5013
40784,Arkansas,AR,Carroll,5015
40787,Arkansas,AR,Chicot,5017
40790,Arkansas,AR,Clark,5019
40793,Arkansas,AR,Clay,5021
40796,Arkansas,AR,Cleburne,5023
40799,Arkansas,AR,Cleveland,5025
40802,Arkansas,AR,Columbia,5027
40805,Arkansas,AR,Conway,5029
40808,Arkansas,AR,Craighead,5031
40811,Arkansas,AR,Crawford,5033
40814,Arkansas,AR,Crittenden,5035
40817,Arkansas,AR,Cross,5037
40820,Arkansas,AR,Dallas,5039
40823,Arkansas,AR,Desha,5041
40826,Arkansas,AR,Drew,5043
40829,Arkansas,AR,Faulkner,5045
40832,Arkansas,AR,Franklin,5047
40835,Arkansas,AR,Fulton,5049
40838,Arkansas,AR,Garland,5051
40841,Arkansas,AR,Grant,5053
40844,Arkansas,AR,Greene,5055
40847,Arkansas,AR,Hempstead,5057
40850,Arkansas,AR,Hot Spring,5059
40853,Arkansas,AR,Howard,5061
40856,Arkansas,AR,Independence,5063
40859,Arkansas,AR,Izard,5065
40862,Arkansas,AR,Jackson,5067
40865,Arkansas,AR,Jefferson,5069
40868,Arkansas,AR,Johnson,5071
40871,Arkansas,AR,Lafayette,5073
40874,Arkansas,AR,Lawrence,5075
40877,Arkansas,AR,Lee,5077
40880,Arkansas,AR,Lincoln,5079
40883,Arkansas,AR,Little River,5081
40886,Arkansas,AR,Logan,5083
40889,Arkansas,AR,Lonoke,5085
40892,Arkansas,AR,Madison,5087
40895,Arkansas,AR,Marion,5089
40898,Arkansas,AR,Miller,5091
40901,Arkansas,AR,Mississippi,5093
40904,Arkansas,AR,Monroe,5095
40907,Arkansas,AR,Montgomery,5097
40910,Arkansas,AR,Nevada,5099
40913,Arkansas,AR,Newton,5101
40916,Arkansas,AR,Ouachita,5103
40919,Arkansas,AR,Perry,5105
40922,Arkansas,AR,Phillips,5107
40925,Arkansas,AR,Pike,5109
40928,Arkansas,AR,Poinsett,5111
40931,Arkansas,AR,Polk,5113
40934,Arkansas,AR,Pope,5115
40937,Arkansas,AR,Prairie,5117
40940,Arkansas,AR,Pulaski,5119
40943,Arkansas,AR,Randolph,5121
40946,Arkansas,AR,St. Francis,5123
40949,Arkansas,AR,Saline,5125
40952,Arkansas,AR,Scott,5127
40955,Arkansas,AR,Searcy,5129
40958,Arkansas,AR,Sebastian,5131
40961,Arkansas,AR,Sevier,5133
40964,Arkansas,AR,Sharp,5135
40967,Arkansas,AR,Stone,5137
40970,Arkansas,AR,Union,5139
40973,Arkansas,AR,Van Buren,5141
40976,Arkansas,AR,Washington,5143
40979,Arkansas,AR,White,5145
40982,Arkansas,AR,Woodruff,5147
40985,Arkansas,AR,Yell,5149
40988,California,CA,Alameda,6001
40991,California,CA,Alpine,6003
40994,California,CA,Amador,6005
40997,California,CA,Butte,6007
41000,California,CA,Calaveras,6009
41003,California,CA,Colusa,6011
41006,California,CA,Contra Costa,6013
41009,California,CA,Del Norte,6015
41012,California,CA,El Dorado,6017
41015,California,CA,Fresno,6019
41018,California,CA,Glenn,6021
41021,California,CA,Humboldt,6023
41024,California,CA,Imperial,6025
41027,California,CA,Inyo,6027
41030,California,CA,Kern,6029
41033,California,CA,Kings,6031
41036,California,CA,Lake,6033
41039,California,CA,Lassen,6035
41042,California,CA,Los Angeles,6037
41045,California,CA,Madera,6039
41048,California,CA,Marin,6041
41051,California,CA,Mariposa,6043
41054,California,CA,Mendocino,6045
41057,California,CA,Merced,6047
41060,California,CA,Modoc,6049
41063,California,CA,Mono,6051
41066,California,CA,Monterey,6053
41069,California,CA,Napa,6055
41072,California,CA,Nevada,6057
41075,California,CA,Orange,6059
41078,California,CA,Placer,6061
41081,California,CA,Plumas,6063
41084,California,CA,Riverside,6065
41087,California,CA,Sacramento,6067
41090,California,CA,San Benito,6069
41093,California,CA,San Bernardino,6071
41096,California,CA,San Diego,6073
41099,California,CA,San Francisco,6075
41102,California,CA,San Joaquin,6077
41105,California,CA,San Luis Obispo,6079
41108,California,CA,San Mateo,6081
41111,California,CA,Santa Barbara,6083
41114,California,CA,Santa Clara,6085
41117,California,CA,Santa Cruz,6087
41120,California,CA,Shasta,6089
41123,California,CA,Sierra,6091
41126,California,CA,Siskiyou,6093
41129,California,CA,Solano,6095
41132,California,CA,Sonoma,6097
41135,California,CA,Stanislaus,6099
41138,California,CA,Sutter,6101
41141,California,CA,Tehama,6103
41144,California,CA,Trinity,6105
41147,California,CA,Tulare,6107
41150,California,CA,Tuolumne,6109
41153,California,CA,Ventura,6111
41156,California,CA,Yolo,6113
