,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_democrat
40517,2016,Alabama,AL,Autauga,Hillary Clinton,democrat,5936.0,24973,23.76967124494454
40520,2016,Alabama,AL,Baldwin,Hillary Clinton,democrat,18458.0,95215,19.3856010082445
40523,2016,Alabama,AL,Barbour,Hillary Clinton,democrat,4871.0,10469,46.52784411118541
40526,2016,Alabama,AL,Bibb,Hillary Clinton,democrat,1874.0,8819,21.249574781721282
40529,2016,Alabama,AL,Blount,Hillary Clinton,democrat,2156.0,25588,8.425824605283728
40532,2016,Alabama,AL,Bullock,Hillary Clinton,democrat,3530.0,4710,74.94692144373673
40535,2016,Alabama,AL,Butler,Hillary Clinton,democrat,3726.0,8732,42.67063673843335
40538,2016,Alabama,AL,Calhoun,Hillary Clinton,democrat,13242.0,47864,27.665886678923616
40541,2016,Alabama,AL,Chambers,Hillary Clinton,democrat,5784.0,13900,41.611510791366904
40544,2016,Alabama,AL,Cherokee,Hillary Clinton,democrat,1547.0,10733,14.413491102208143
40547,2016,Alabama,AL,Chilton,Hillary Clinton,democrat,2911.0,18369,15.847351516141325
40550,2016,Alabama,AL,Choctaw,Hillary Clinton,democrat,3109.0,7292,42.63576522216127
40553,2016,Alabama,AL,Clarke,Hillary Clinton,democrat,5749.0,13031,44.11787276494513
40556,2016,Alabama,AL,Clay,Hillary Clinton,democrat,1237.0,6624,18.67451690821256
40559,2016,Alabama,AL,Cleburne,Hillary Clinton,democrat,684.0,6593,10.37463976945245
40562,2016,Alabama,AL,Coffee,Hillary Clinton,democrat,4221.0,20767,20.325516444358836
40565,2016,Alabama,AL,Colbert,Hillary Clinton,democrat,7312.0,24915,29.34778246036524
40568,2016,Alabama,AL,Conecuh,Hillary Clinton,democrat,3080.0,6585,46.77296886864085
40571,2016,Alabama,AL,Coosa,Hillary Clinton,democrat,1782.0,5252,33.92993145468393
40574,2016,Alabama,AL,Covington,Hillary Clinton,democrat,2387.0,15940,14.974905897114176
40577,2016,Alabama,AL,Crenshaw,Hillary Clinton,democrat,1664.0,6267,26.55177916068294
40580,2016,Alabama,AL,Cullman,Hillary Clinton,democrat,3798.0,37873,10.028252316954031
40583,2016,Alabama,AL,Dale,Hillary Clinton,democrat,4413.0,18749,23.537255320283748
40586,2016,Alabama,AL,Dallas,Hillary Clinton,democrat,12836.0,18792,68.3056619838229
40589,2016,Alabama,AL,DeKalb,Hillary Clinton,democrat,3622.0,25826,14.02462634554325
40592,2016,Alabama,AL,Elmore,Hillary Clinton,democrat,8443.0,37260,22.659688674181428
40595,2016,Alabama,AL,Escambia,Hillary Clinton,democrat,4605.0,14845,31.020545638262043
40598,2016,Alabama,AL,Etowah,Hillary Clinton,democrat,10442.0,44164,23.64369169459288
40601,2016,Alabama,AL,Fayette,Hillary Clinton,democrat,1362.0,8249,16.5110922536065
40604,2016,Alabama,AL,Franklin,Hillary Clinton,democrat,2197.0,12040,18.24750830564784
40607,2016,Alabama,AL,Geneva,Hillary Clinton,democrat,1525.0,11758,12.969892838918184
40610,2016,Alabama,AL,Greene,Hillary Clinton,democrat,4013.0,4880,82.23360655737704
40613,2016,Alabama,AL,Hale,Hillary Clinton,democrat,4775.0,8040,59.39054726368159
40616,2016,Alabama,AL,Henry,Hillary Clinton,democrat,2292.0,8072,28.39444995044599
40619,2016,Alabama,AL,Houston,Hillary Clinton,democrat,10664.0,42639,25.009967400736414
40622,2016,Alabama,AL,Jackson,Hillary Clinton,democrat,3673.0,20984,17.503812428516966
40625,2016,Alabama,AL,Jefferson,Hillary Clinton,democrat,156873.0,304191,51.57055928676391
40628,2016,Alabama,AL,Lamar,Hillary Clinton,democrat,1036.0,6966,14.872236577662933
40631,2016,Alabama,AL,Lauderdale,Hillary Clinton,democrat,9952.0,39525,25.179000632511066
40634,2016,Alabama,AL,Lawrence,Hillary Clinton,democrat,3627.0,14829,24.458830669633823
40637,2016,Alabama,AL,Lee,Hillary Clinton,democrat,21230.0,59191,35.86693923062628
40640,2016,Alabama,AL,Limestone,Hillary Clinton,democrat,9468.0,40294,23.497294882612795
40643,2016,Alabama,AL,Lowndes,Hillary Clinton,democrat,4883.0,6684,73.05505685218432
40646,2016,Alabama,AL,Macon,Hillary Clinton,democrat,7566.0,9140,82.77899343544858
40649,2016,Alabama,AL,Madison,Hillary Clinton,democrat,62822.0,163389,38.44934481513443
40652,2016,Alabama,AL,Marengo,Hillary Clinton,democrat,5615.0,10994,51.07331271602692
40655,2016,Alabama,AL,Marion,Hillary Clinton,democrat,1432.0,12984,11.028958718422674
40658,2016,Alabama,AL,Marshall,Hillary Clinton,democrat,4917.0,35316,13.92286782195039
40661,2016,Alabama,AL,Mobile,Hillary Clinton,democrat,72186.0,172737,41.7895413258306
40664,2016,Alabama,AL,Monroe,Hillary Clinton,democrat,4332.0,10271,42.177003212929606
