year,state,state_abbr,county,D_candidate_votes,R_candidate_votes,totalvotes,percent_republican,percent_democrat,%difference(d_favor),FIPS
2016,Alabama,AL,Autauga,5936,18172,24973,72.76658791,23.76967124,-48.99691667,1001
2016,Alabama,AL,Baldwin,18458,72883,95215,76.54571234,19.38560101,-57.16011133,1003
2016,Alabama,AL,Barbour,4871,5454,10469,52.09666635,46.52784411,-5.568822237,1005
2016,Alabama,AL,Bibb,1874,6738,8819,76.40322032,21.24957478,-55.15364554,1007
2016,Alabama,AL,Blount,2156,22859,25588,89.33484446,8.425824605,-80.90901985,1009
2016,Alabama,AL,Bullock,3530,1140,4710,24.20382166,74.94692144,50.74309979,1011
2016,Alabama,AL,Butler,3726,4901,8732,56.1268896,42.67063674,-13.45625286,1013
2016,Alabama,AL,Calhoun,13242,32865,47864,68.66329601,27.66588668,-40.99740933,1015
2016,Alabama,AL,Chambers,5784,7843,13900,56.42446043,41.61151079,-14.81294964,1017
2016,Alabama,AL,Cherokee,1547,8953,10733,83.41563403,14.4134911,-69.00214292,1019
2016,Alabama,AL,Chilton,2911,15081,18369,82.10027764,15.84735152,-66.25292613,1021
2016,Alabama,AL,Choctaw,3109,4106,7292,56.30828305,42.63576522,-13.67251783,1023
2016,Alabama,AL,Clarke,5749,7140,13031,54.79241808,44.11787276,-10.67454532,1025
2016,Alabama,AL,Clay,1237,5245,6624,79.18176329,18.67451691,-60.50724638,1027
2016,Alabama,AL,Cleburne,684,5764,6593,87.42605794,10.37463977,-77.05141817,1029
2016,Alabama,AL,Coffee,4221,15875,20767,76.44339577,20.32551644,-56.11787933,1031
2016,Alabama,AL,Colbert,7312,16746,24915,67.21252258,29.34778246,-37.86474012,1033
2016,Alabama,AL,Conecuh,3080,3420,6585,51.93621868,46.77296887,-5.16324981,1035
2016,Alabama,AL,Coosa,1782,3381,5252,64.37547601,33.92993145,-30.44554455,1037
2016,Alabama,AL,Covington,2387,13267,15940,83.23086575,14.9749059,-68.25595985,1039
