state_abbr,D_candidate_votes,R_candidate_votes,totalvotes,%rep,%dem,%diff_dem_favor
AK,116454.0,163387.0,323112,50.56667657035332,36.04137265096932,-14.525303919384001
AL,729547.0,1318250.0,2123367,62.08300307954301,34.3580266623716,-27.724976417171412
AR,380494.0,684872.0,1129896,60.61372020079724,33.6751347026629,-26.938585498134337
AZ,1161167.0,1252401.0,2628756,47.64234489621707,44.17172989809629,-3.47061499812078
CA,8753788.0,4483810.0,14181595,31.617106538439433,61.72639960455788,30.10929306611845
CO,1338870.0,1202484.0,2780220,43.25139737143104,48.1569803828474,4.905583011416361
CT,897572.0,673215.0,1644920,40.92691437881478,54.56630109670987,13.639386717895093
DC,282830.0,12723.0,311268,4.087474459308377,90.86382152999987,86.77634707069149
DE,235603.0,185127.0,442997,41.789673519233766,53.183881606421714,11.394208087187948
FL,4504975.0,4617886.0,9420039,49.021941416590735,47.82331580580505,-1.1986256107856832
GA,1877963.0,2089104.0,4114711,50.771585173296494,45.640216287365014,-5.131368885931479
HI,266891.0,128847.0,428937,30.038677008511737,62.22149173421738,32.18281472570564
IA,653669.0,800983.0,1566031,51.147327224046016,41.740489172947406,-9.40683805109861
ID,189765.0,409055.0,690433,59.24615422495738,27.484926126068714,-31.761228098888665
IL,3090729.0,2146015.0,5558707,38.60637015046844,55.60158144690842,16.995211296439976
IN,1033126.0,1557286.0,2734958,56.94003344841128,37.774839686752046,-19.165193761659232
KS,427005.0,671018.0,1184403,56.65453397196731,36.052340292957716,-20.602193679009595
KY,628854.0,1202971.0,1924149,62.519638551900094,32.68218833364776,-29.837450218252336
LA,780154.0,1178638.0,2029032,58.0886846535688,38.44956609851397,-19.63911855505483
MA,1995196.0,1090893.0,3274555,33.31423659092609,60.93029434533853,27.616057754412438
MD,1677928.0,943169.0,2781446,33.90930472854767,60.32574423519277,26.416439506645105
ME,354718.0,334945.0,743941,45.02305962435193,47.68093168678699,2.657872062435061
MI,2268839.0,2279543.0,4799284,47.49756421999615,47.27453095086684,-0.22303326912930999
MN,1367716.0,1322951.0,2944813,44.92478809350543,46.44491857377701,1.5201304802715825
MO,1071068.0,1594511.0,2807381,56.79710021546772,38.151857549794634,-18.645242665673088
MS,485131.0,700714.0,1209357,57.94103808883564,40.11478827178409,-17.826249817051547
MT,177709.0,279240.0,497147,56.16849744642932,35.745765337013,-20.422732109416323
NC,2189316.0,2362631.0,4741564,49.828094696180415,46.172866168209474,-3.655228527970941
ND,93758.0,216794.0,344360,62.9556278313393,27.226739458706007,-35.72888837263329
NE,284494.0,495961.0,844187,58.75013474502687,33.70035312081328,-25.049781624213587
NH,348526.0,345790.0,744296,46.458666981953414,46.82626266969056,0.36759568773714335
NJ,2148278.0,1601933.0,3874046,41.35038665002945,55.4530844496942,14.102697799664753
NM,385234.0,319667.0,798319,40.04251433324272,48.255647178634106,8.213132845391385
NV,539260.0,512058.0,1125385,45.50069531760242,47.91782367811904,2.417128360516621
NY,4547562.0,2814589.0,7707363,36.51818397550498,59.002826258475174,22.484642282970192
OH,2394164.0,2841005.0,5496487,51.68765067578619,43.55807627672002,-8.129574399066165
OK,420375.0,949136.0,1452992,65.32286481962736,28.931680284543894,-36.39118453508346
OR,1002106.0,782403.0,2001336,39.094035184496754,50.07185200286208,10.977816818365326
PA,2926441.0,2970733.0,6115402,48.57788580374602,47.85361616456285,-0.72426963918317
RI,251888.0,180490.0,463416,38.94772731196161,54.35461874428159,15.40689143231998
SC,855373.0,1155389.0,2103027,54.93933268569543,40.67341978966509,-14.265912896030343
SD,117458.0,227721.0,370093,61.5307503789588,31.737428159948987,-29.793322219009813
TN,870695.0,1522925.0,2508027,60.722033694214616,34.71633279865009,-26.005700895564523
TX,3877868.0,4685047.0,8969226,52.234685579335384,43.23525798101196,-8.999427598323422
UT,310676.0,515231.0,1131430,45.53803593682331,27.4587027036582,-18.079333233165112
VA,1981473.0,1769443.0,3984631,44.40669663012711,49.72789199301014,5.3211953628830315
VT,178573.0,95369.0,315077,30.268474055548328,56.675987139651575,26.407513084103247
WA,1742718.0,1221747.0,3209214,38.06997601281809,54.30357713757948,16.233601124761392
WI,1381823.0,1404440.0,2975753,47.196121452284515,46.43607853205559,-0.7600429202289263
WV,188794.0,489371.0,713051,68.63057481161935,26.476928017771517,-42.15364679384784
WY,55973.0,174419.0,255849,68.17263307654125,21.877357347497938,-46.29527572904331
