state_name,state_abbr,state_id,D_candidate_votes,R_candidate_votes,totalvotes,%rep,%dem,%diff_dem_favor
Alabama,AK,1,116454,163387,323112,50.56667657,36.04137265,-14.52530392
Alaska,AL,2,729547,1318250,2123367,62.08300308,34.35802666,-27.72497642
Arizona,AR,4,380494,684872,1129896,60.6137202,33.6751347,-26.9385855
Arkansas,AZ,5,1161167,1252401,2628756,47.6423449,44.1717299,-3.470614998
California,CA,6,8753788,4483810,14181595,31.61710654,61.7263996,30.10929307
Colorado,CO,8,1338870,1202484,2780220,43.25139737,48.15698038,4.905583011
Connecticut,CT,9,897572,673215,1644920,40.92691438,54.5663011,13.63938672
Delaware,DC,10,282830,12723,311268,4.087474459,90.86382153,86.77634707
District of Columbia,DE,11,235603,185127,442997,41.78967352,53.18388161,11.39420809
Florida,FL,12,4504975,4617886,9420039,49.02194142,47.82331581,-1.198625611
Georgia,GA,13,1877963,2089104,4114711,50.77158517,45.64021629,-5.131368886
Hawaii,HI,15,266891,128847,428937,30.03867701,62.22149173,32.18281473
Idaho,IA,16,653669,800983,1566031,51.14732722,41.74048917,-9.406838051
Illinois,ID,17,189765,409055,690433,59.24615422,27.48492613,-31.7612281
Indiana,IL,18,3090729,2146015,5558707,38.60637015,55.60158145,16.9952113
Iowa,IN,19,1033126,1557286,2734958,56.94003345,37.77483969,-19.16519376
Kansas,KS,20,427005,671018,1184403,56.65453397,36.05234029,-20.60219368
Kentucky,KY,21,628854,1202971,1924149,62.51963855,32.68218833,-29.83745022
Louisiana,LA,22,780154,1178638,2029032,58.08868465,38.4495661,-19.63911856
Maine,MA,23,1995196,1090893,3274555,33.31423659,60.93029435,27.61605775
Maryland,MD,24,1677928,943169,2781446,33.90930473,60.32574424,26.41643951
Massachusetts,ME,25,354718,334945,743941,45.02305962,47.68093169,2.657872062
Michigan,MI,26,2268839,2279543,4799284,47.49756422,47.27453095,-0.223033269
Minnesota,MN,27,1367716,1322951,2944813,44.92478809,46.44491857,1.52013048
Mississippi,MO,28,1071068,1594511,2807381,56.79710022,38.15185755,-18.64524267
Missouri,MS,29,485131,700714,1209357,57.94103809,40.11478827,-17.82624982
Montana,MT,30,177709,279240,497147,56.16849745,35.74576534,-20.42273211
Nebraska,NC,31,2189316,2362631,4741564,49.8280947,46.17286617,-3.655228528
Nevada,ND,32,93758,216794,344360,62.95562783,27.22673946,-35.72888837
New Hampshire,NE,33,284494,495961,844187,58.75013475,33.70035312,-25.04978162
New Jersey,NH,34,348526,345790,744296,46.45866698,46.82626267,0.367595688
New Mexico,NJ,35,2148278,1601933,3874046,41.35038665,55.45308445,14.1026978
New York,NM,36,385234,319667,798319,40.04251433,48.25564718,8.213132845
North Carolina,NV,37,539260,512058,1125385,45.50069532,47.91782368,2.417128361
North Dakota,NY,38,4547562,2814589,7707363,36.51818398,59.00282626,22.48464228
Ohio,OH,39,2394164,2841005,5496487,51.68765068,43.55807628,-8.129574399
Oklahoma,OK,40,420375,949136,1452992,65.32286482,28.93168028,-36.39118454
Oregon,OR,41,1002106,782403,2001336,39.09403518,50.071852,10.97781682
Pennsylvania,PA,42,2926441,2970733,6115402,48.5778858,47.85361616,-0.724269639
Rhode Island,RI,44,251888,180490,463416,38.94772731,54.35461874,15.40689143
South Carolina,SC,45,855373,1155389,2103027,54.93933269,40.67341979,-14.2659129
South Dakota,SD,46,117458,227721,370093,61.53075038,31.73742816,-29.79332222
Tennessee,TN,47,870695,1522925,2508027,60.72203369,34.7163328,-26.0057009
Texas,TX,48,3877868,4685047,8969226,52.23468558,43.23525798,-8.999427598
Utah,UT,49,310676,515231,1131430,45.53803594,27.4587027,-18.07933323
Vermont,VA,50,1981473,1769443,3984631,44.40669663,49.72789199,5.321195363
Virginia,VT,51,178573,95369,315077,30.26847406,56.67598714,26.40751308
Washington,WA,53,1742718,1221747,3209214,38.06997601,54.30357714,16.23360112
West Virginia,WI,54,1381823,1404440,2975753,47.19612145,46.43607853,-0.76004292
Wisconsin,WV,55,188794,489371,713051,68.63057481,26.47692802,-42.15364679
Wyoming,WY,56,55973,174419,255849,68.17263308,21.87735735,-46.29527573
America Samoa,,,,,,,,
Federated States of Micronesia,,,,,,,,
Guam,,,,,,,,
Marshall Islands,,,,,,,,
Northern Mariana Islands,,,,,,,,
Palau,,,,,,,,
Puerto Rico,,,,,,,,
U.S. Minor Outlying Islands,,,,,,,,
Virgin Islands of the United States,,,,,,,,
