,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_republican
40518,2016,Alabama,AL,Autauga,Donald Trump,republican,18172.0,24973,72.76658791494815
40521,2016,Alabama,AL,Baldwin,Donald Trump,republican,72883.0,95215,76.5457123352413
40524,2016,Alabama,AL,Barbour,Donald Trump,republican,5454.0,10469,52.09666634826631
40527,2016,Alabama,AL,Bibb,Donald Trump,republican,6738.0,8819,76.40322031976415
40530,2016,Alabama,AL,Blount,Donald Trump,republican,22859.0,25588,89.33484445833984
40533,2016,Alabama,AL,Bullock,Donald Trump,republican,1140.0,4710,24.203821656050955
40536,2016,Alabama,AL,Butler,Donald Trump,republican,4901.0,8732,56.12688960146587
40539,2016,Alabama,AL,Calhoun,Donald Trump,republican,32865.0,47864,68.66329600534849
40542,2016,Alabama,AL,Chambers,Donald Trump,republican,7843.0,13900,56.42446043165468
40545,2016,Alabama,AL,Cherokee,Donald Trump,republican,8953.0,10733,83.41563402590143
40548,2016,Alabama,AL,Chilton,Donald Trump,republican,15081.0,18369,82.10027764167891
40551,2016,Alabama,AL,Choctaw,Donald Trump,republican,4106.0,7292,56.30828304991772
40554,2016,Alabama,AL,Clarke,Donald Trump,republican,7140.0,13031,54.79241807996317
40557,2016,Alabama,AL,Clay,Donald Trump,republican,5245.0,6624,79.18176328502415
40560,2016,Alabama,AL,Cleburne,Donald Trump,republican,5764.0,6593,87.42605794023964
40563,2016,Alabama,AL,Coffee,Donald Trump,republican,15875.0,20767,76.44339577213849
40566,2016,Alabama,AL,Colbert,Donald Trump,republican,16746.0,24915,67.21252257676099
40569,2016,Alabama,AL,Conecuh,Donald Trump,republican,3420.0,6585,51.93621867881549
40572,2016,Alabama,AL,Coosa,Donald Trump,republican,3381.0,5252,64.37547600913938
40575,2016,Alabama,AL,Covington,Donald Trump,republican,13267.0,15940,83.23086574654957
40578,2016,Alabama,AL,Crenshaw,Donald Trump,republican,4513.0,6267,72.0121270145205
40581,2016,Alabama,AL,Cullman,Donald Trump,republican,32989.0,37873,87.10426953238455
40584,2016,Alabama,AL,Dale,Donald Trump,republican,13808.0,18749,73.6465944850392
40587,2016,Alabama,AL,Dallas,Donald Trump,republican,5789.0,18792,30.8056619838229
40590,2016,Alabama,AL,DeKalb,Donald Trump,republican,21405.0,25826,82.88159219391311
40593,2016,Alabama,AL,Elmore,Donald Trump,republican,27634.0,37260,74.1653247450349
40596,2016,Alabama,AL,Escambia,Donald Trump,republican,9935.0,14845,66.92489053553385
40599,2016,Alabama,AL,Etowah,Donald Trump,republican,32353.0,44164,73.25649850557015
40602,2016,Alabama,AL,Fayette,Donald Trump,republican,6712.0,8249,81.36743847739119
40605,2016,Alabama,AL,Franklin,Donald Trump,republican,9466.0,12040,78.62126245847176
40608,2016,Alabama,AL,Geneva,Donald Trump,republican,9994.0,11758,84.99744854567103
40611,2016,Alabama,AL,Greene,Donald Trump,republican,838.0,4880,17.172131147540984
40614,2016,Alabama,AL,Hale,Donald Trump,republican,3173.0,8040,39.46517412935324
40617,2016,Alabama,AL,Henry,Donald Trump,republican,5632.0,8072,69.77205153617443
40620,2016,Alabama,AL,Houston,Donald Trump,republican,30728.0,42639,72.06547995966133
40623,2016,Alabama,AL,Jackson,Donald Trump,republican,16672.0,20984,79.451010293557
