Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1813062,"October 3, 2020",Wisconsin,Milwaukee,3100 block of N 11th St,1,0,N/A
1812559,"October 1, 2020",Nevada,Las Vegas,7000 block of Canary Ivy Way,1,0,N/A
1813143,"October 1, 2020",Ohio,Cleveland,Garfield Ave,1,0,N/A
1812847,"October 1, 2020",Washington,Spokane,E 5th Ave and S Fiske St,1,0,N/A
1811358,"September 30, 2020",Oklahoma,Oklahoma City,1312 N Midwest Blvd,1,0,N/A
1811585,"September 30, 2020",North Carolina,Charlotte,7400 block of N Tryon St,1,0,N/A
1810334,"September 30, 2020",Illinois,Chicago,200 block of N Central Ave,1,0,N/A
1810829,"September 30, 2020",Michigan,Eastpointe,Rein Ave and Semrau Ave,1,0,N/A
1810670,"September 30, 2020",Wisconsin,Milwaukee,700 block of W Ohio Ave,1,0,N/A
1810839,"September 30, 2020",Texas,Crosby,423 St Charles Dr,1,0,N/A
1811033,"September 29, 2020",Pennsylvania,Bethlehem,1204 William St,1,0,N/A
1809537,"September 29, 2020",Ohio,Columbus,4809 Heatherton Dr,1,0,N/A
1809784,"September 29, 2020",Texas,Austin,12300 block of Yarmont Way,1,0,N/A
1808326,"September 28, 2020",Tennessee,Memphis,726 Crillion Dr,1,1,N/A
1809259,"September 28, 2020",California,Oakland,9800 block of Sunnyside St,1,0,N/A
1807514,"September 27, 2020",California,Oakland,5800 block of Elizabeth St,1,0,N/A
1807505,"September 27, 2020",Missouri,Saint Louis,9100 block of Gast Pl,2,0,N/A
1807948,"September 27, 2020",Georgia,Dublin,200 Riverview Park Dr,1,0,N/A
1807347,"September 27, 2020",North Carolina,Charlotte,N Tryon St and E Arrowhead Dr,1,0,N/A
1808464,"September 26, 2020",Arizona,Red Rock,N/A,1,0,N/A
1806327,"September 26, 2020",Kansas,Kansas City,4400 block of Adams St,1,0,N/A
1806576,"September 26, 2020",Illinois,Chicago,11600 block of S Prairie Ave,1,0,N/A
1805866,"September 26, 2020",Illinois,Chicago,232 N Leamington Ave,1,0,N/A
1804784,"September 24, 2020",New York,Troy,7th Ave and Glen Ave,1,0,N/A
1805197,"September 24, 2020",Kentucky,Lawrenceburg,1511 Corinth Rd,2,0,N/A
1805206,"September 24, 2020",New Mexico,Albuquerque,1601 Coors Blvd SW,1,1,N/A
1804662,"September 24, 2020",West Virginia,Weirton,Ardmore Ave,2,0,N/A
1804725,"September 23, 2020",North Carolina,Lincolnton,340 Highland Dr,1,0,N/A
1802878,"September 23, 2020",Indiana,Indianapolis (Lawrence),8016 Louisville Dr,1,0,N/A
1803056,"September 22, 2020",Georgia,Savannah (Garden City),US 80 and 6th St,1,1,N/A
1801505,"September 21, 2020",Tennessee,Memphis,6660 Poplar Ave,1,1,N/A
1802032,"September 21, 2020",Pennsylvania,Philadelphia,3100 block of Mercer St,1,0,N/A
1800831,"September 21, 2020",Illinois,Chicago,6400 block of N Hamilton Ave,1,0,N/A
1801965,"September 21, 2020",California,Fresno,Barton Ave and Grant Ave,1,0,N/A
1801891,"September 21, 2020",Florida,Orlando,1600 Block of Glendale Rd,1,1,N/A
1802589,"September 21, 2020",Texas,Burleson,755 NE Alsbury Blvd,1,0,N/A
1801342,"September 21, 2020",New York,Poughkeepsie,Main St and N Clinton St,1,0,N/A
1802002,"September 20, 2020",Illinois,Kankakee,600 block of S Nelson Ave,1,0,N/A
1801933,"September 20, 2020",Georgia,East Dublin,200 block of Chase Dr,1,0,N/A
1801622,"September 20, 2020",Mississippi,Jackson,4500 block of Officer Thomas Catchings Sr Dr,1,0,N/A
1800710,"September 19, 2020",Pennsylvania,New Cumberland,200 block of Ross Ave,1,0,N/A
1800474,"September 19, 2020",Wisconsin,Milwaukee,N 10th St and W Walnut St,1,0,N/A
1800660,"September 19, 2020",Pennsylvania,Philadelphia,2400 block of W Firth St,1,0,N/A
1802286,"September 19, 2020",Arizona,Tucson,300 block of W Valencia Rd,1,0,N/A
1799813,"September 18, 2020",Minnesota,Menahga,N/A,1,0,N/A
1797582,"September 16, 2020",Michigan,Wyoming,Wilbur St SE and Division Ave S,2,0,N/A
1796765,"September 16, 2020",Missouri,Kansas City,6800 block of Truman Rd,1,0,N/A
1797974,"September 16, 2020",California,Sonora,430 N Washington St,1,0,N/A
1797957,"September 16, 2020",California,Oakland,1900 block of Solano Way,1,0,N/A
1796381,"September 15, 2020",Virginia,Norfolk,913 Pollard St,1,0,N/A
1795642,"September 15, 2020",North Carolina,Salisbury,100 Laurel Pointe Cir,1,0,N/A
1795084,"September 14, 2020",Minnesota,Minneapolis,3807 N Fremont Ave,1,1,N/A
1794843,"September 14, 2020",Michigan,Oak Park,1000 block of Saratoga St,1,0,N/A
1801233,"September 14, 2020",Texas,Killeen,5000 block of Williamette Ln,1,0,N/A
1794920,"September 14, 2020",Iowa,Des Moines,1400 block of 13th St,1,1,N/A
1795653,"September 14, 2020",Missouri,Saint Louis,Spring Garden Dr and Riverview Dr,1,0,N/A
1796464,"September 14, 2020",Washington,Yakima,1100 block of Willow St,1,0,N/A
1795649,"September 14, 2020",Wisconsin,Milwaukee,N 57th St and W Villard Ave,1,0,N/A
1794634,"September 13, 2020",Arizona,Phoenix,S 20th St and E Southern Ave,1,1,N/A
1794393,"September 13, 2020",Kansas,Wichita,1600 block of Water St,1,1,N/A
1794115,"September 12, 2020",Arizona,Phoenix,N 31st Ave and W Thunderbird Rd,1,0,N/A
1797207,"September 11, 2020",North Carolina,Rocky Mount,700 block of Hammond St,1,0,N/A
1792104,"September 11, 2020",Maryland,Baltimore,2600 block of Polk St,1,0,N/A
1792604,"September 11, 2020",Ohio,Toledo,2600 block of Calverton Rd,1,0,N/A
1791269,"September 10, 2020",New York,Bronx,1705 Hoe Ave,1,0,N/A
1791482,"September 10, 2020",Louisiana,New Orleans,4100 block of Rayne Dr,3,2,N/A
